Thời gian;Người gửi;Nội dung
2025-12-07 21:08:14;Hà Đăng Khôi;Oke :>
2025-12-07 21:08:18;Triêm Đoàn;Oke :>>>
2025-12-07 21:08:22;Mai Quỳnh Anh;nhóm trưởng
2025-12-07 21:08:25;Mai Quỳnh Anh;chắc tuyền
2025-12-07 21:08:26;Mai Quỳnh Anh;":"">"
2025-12-07 21:08:40;Lê Ngọc Tuyền;=))))))))))))
2025-12-07 21:08:42;Lê Ngọc Tuyền;có nhóm trưởng nữa hẽ
2025-12-07 21:08:53;Mai Quỳnh Anh;ừa
2025-12-07 21:08:55;Mai Quỳnh Anh;bà sẽ là ng
2025-12-07 21:08:55;Triêm Đoàn;Ỳe te
2025-12-07 21:08:57;Mai Quỳnh Anh;qdinh
2025-12-07 21:09:01;Mai Quỳnh Anh;tất tần tật
2025-12-07 21:09:04;Lê Ngọc Tuyền;=))
2025-12-07 21:09:05;Mai Quỳnh Anh;chủ trì
2025-12-07 21:09:08;Lê Ngọc Tuyền;tin được khong vạy
2025-12-07 21:09:12;Mai Quỳnh Anh;nói chung là trách nhiệm=))))
2025-12-07 21:09:17;Mai Quỳnh Anh;leader mà
2025-12-07 21:09:30;Lê Ngọc Tuyền;hoi đcoa dùng từ đoá =))
2025-12-07 21:09:42;Lê Ngọc Tuyền;hì nchung tui ra ý kiến mn đồng ý thì triển thoai
2025-12-07 21:09:48;Mai Quỳnh Anh;phải chia vai rõ ràng
2025-12-07 21:09:49;Mai Quỳnh Anh;tại vì
2025-12-07 21:09:51;Mai Quỳnh Anh;lúc làm việc
2025-12-07 21:10:01;Mai Quỳnh Anh;thì cx hok phải hok có khả năng xích mích
2025-12-07 21:10:03;Mai Quỳnh Anh;=))))
2025-12-07 21:10:56;Lê Ngọc Tuyền;:>
2025-12-07 21:11:04;Lê Ngọc Tuyền;yên tâm là ntuyen giảng hoà ok ==))
2025-12-07 21:11:12;Lê Ngọc Tuyền;xưa giờ giỏi vai giảng hoà =))
2025-12-07 21:11:23;Mai Quỳnh Anh;thì đúng ròi
2025-12-07 21:11:28;Mai Quỳnh Anh;nhma bắt buộc phải có leader
2025-12-07 21:11:29;Mai Quỳnh Anh;=)))
2025-12-07 21:12:22;Mai Quỳnh Anh;ai tự tin thì làm th
2025-12-07 21:12:28;Mai Quỳnh Anh;cx hok phải là gánh dou
2025-12-07 21:12:29;Mai Quỳnh Anh;chỉ là
2025-12-07 21:12:35;Mai Quỳnh Anh;giúp tổng hợp lại
2025-12-07 21:12:37;Mai Quỳnh Anh;ra qdinh
2025-12-07 21:12:39;Mai Quỳnh Anh;qli th
2025-12-07 21:12:46;Hà Đăng Khôi;Thì hợp leader r đó
2025-12-07 21:12:53;Triêm Đoàn;Ra đường toi chỉ nể nhất mỗi @Lê Ngọc Tuyền
2025-12-07 21:12:56;Lê Ngọc Tuyền;=))
2025-12-07 21:12:57;Triêm Đoàn;<3
2025-12-07 21:13:01;Lê Ngọc Tuyền;thôi mn nói sao cũng được =))
2025-12-07 21:13:11;Lê Ngọc Tuyền;tui thì có chức j hong thì
2025-12-07 21:13:16;Lê Ngọc Tuyền;tui cũng thấy tui thoải mái à
2025-12-07 21:13:32;Hà Đăng Khôi;Bạn đã đổi chủ đề thành Đại dương 🐋
2025-12-07 21:13:52;Mai Quỳnh Anh;ya
2025-12-07 21:13:53;Mai Quỳnh Anh;ý là
2025-12-07 21:13:57;Mai Quỳnh Anh;bà làm được thì làm th
2025-12-07 21:13:58;Mai Quỳnh Anh;=)))
2025-12-07 21:14:02;Lê Ngọc Tuyền;oki v đi =))
2025-12-07 21:14:03;Mai Quỳnh Anh;chx chắc có 1 pj th là hết
2025-12-07 21:14:05;Mai Quỳnh Anh;nên là
2025-12-07 21:14:07;Mai Quỳnh Anh;cứ thử cx được
2025-12-07 21:14:09;Mai Quỳnh Anh;🐋
2025-12-07 21:14:13;Lê Ngọc Tuyền;đroi
2025-12-07 21:14:18;Lê Ngọc Tuyền;chill =))
2025-12-07 21:14:33;Lê Ngọc Tuyền;kiểu cho nó ra dáng 1 proj nghiêm túc thì v cũng tốt
2025-12-07 21:15:51;Mai Quỳnh Anh;phải nghiêm túc á=)))
2025-12-07 21:15:54;Mai Quỳnh Anh;cái j ra cái đó=)))
2025-12-07 21:16:00;Lê Ngọc Tuyền;quyết tâm là
2025-12-07 21:16:04;Lê Ngọc Tuyền;làm phải có kết quả nha mn
2025-12-07 21:16:08;Triêm Đoàn;Mình triển luôn từ kì 2 hay từ hè luon nè :)))) (nếu có prj vậy mí đứa)
2025-12-07 21:16:22;Lê Ngọc Tuyền;huhu hồi c2 tui cũng có lead 1 nhóm học ôn đtuyen
2025-12-07 21:16:22;Mai Quỳnh Anh;h luôn
2025-12-07 21:16:23;Mai Quỳnh Anh;":"">"
2025-12-07 21:16:33;Lê Ngọc Tuyền;xong tno đậu chuyên ròi sau này đi qgia hết luôn =))
2025-12-07 21:16:35;Lê Ngọc Tuyền;hy vọng là
2025-12-07 21:16:40;Lê Ngọc Tuyền;sẽ kỹ luật được như hồi xưa
2025-12-07 21:16:46;Lê Ngọc Tuyền;sẽ có kqua như vậy
2025-12-07 21:16:48;Lê Ngọc Tuyền;cố lên nha mn
2025-12-07 21:17:47;Triêm Đoàn;Toi mong toi vô đây sẽ có thể làm được một cái gì đoá để tự hào mới được
2025-12-07 21:17:52;Lê Ngọc Tuyền;đúng
2025-12-07 21:17:53;Lê Ngọc Tuyền;đồng ý
2025-12-07 21:18:13;Mai Quỳnh Anh;ai cx muốn rèn thêm hết
2025-12-07 21:18:15;Mai Quỳnh Anh;h nha
2025-12-07 21:18:26;Mai Quỳnh Anh;mn thử nói xem mn muốn làm cái j trc
2025-12-07 21:18:28;Mai Quỳnh Anh;rồi từ từ
2025-12-07 21:18:34;Mai Quỳnh Anh;mik sẽ qdinh pj là j
2025-12-07 21:18:44;Lê Ngọc Tuyền;Lê Ngọc Tuyền đã thêm Nghĩa Đoàn vào nhóm.
2025-12-07 21:18:52;Mai Quỳnh Anh;omg
2025-12-07 21:18:55;Mai Quỳnh Anh;thành viên ms
2025-12-07 21:18:57;Lê Ngọc Tuyền;rồi khoá gr nha ae
2025-12-07 21:19:03;Nghĩa Đoàn;Để coi lại hết tin nhắn
2025-12-07 21:19:04;Nghĩa Đoàn;Xem
2025-12-07 21:19:05;Nghĩa Đoàn;Mn
2025-12-07 21:19:09;Nghĩa Đoàn;Nấu xôi
2025-12-07 21:19:10;Nghĩa Đoàn;Cỡ nào
2025-12-07 21:19:11;Lê Ngọc Tuyền;mn đco mà đi rủ ai bơ quơ dô nha =))
2025-12-07 21:19:12;Nghĩa Đoàn;Rồii
2025-12-07 21:19:32;Triêm Đoàn;Toi khong rủ ai bơ quơ đâu
2025-12-07 21:19:36;Lê Ngọc Tuyền;gr ít hoạt động dễ + ổn định hơn á
2025-12-07 21:19:44;Nghĩa Đoàn;Nghĩa đã đặt biệt danh của anh ấy là Đoàn Thanh Nghĩa đang bận chạy đồ án.
2025-12-07 21:19:58;Hà Đăng Khôi;Hay là cái công trình thanh niên của mình mình đổi nó nhiều chút đi :>
2025-12-07 21:20:02;Triêm Đoàn;Nếu hên xui thì tui lại có thêm mí grp nua thoi
2025-12-07 21:20:14;Lê Ngọc Tuyền;hả
2025-12-07 21:20:15;Lê Ngọc Tuyền;là sao
2025-12-07 21:20:28;Lê Ngọc Tuyền;công trình thanh niên là cgi
2025-12-07 21:20:33;Hà Đăng Khôi;Ý là bên đoàn có 1 caia công trình thanh niên
2025-12-07 21:20:46;Hà Đăng Khôi;Bữa BCH đứa nào đọ công trình thanh niên
2025-12-07 21:20:55;Hà Đăng Khôi;=))))
2025-12-07 21:20:56;Lê Ngọc Tuyền;dạ em !
2025-12-07 21:20:59;Lê Ngọc Tuyền;colevay
2025-12-07 21:21:16;Lê Ngọc Tuyền;mà đổi gì á
2025-12-07 21:21:46;Hà Đăng Khôi;Ý là 1 ý tưởng thôi chứ chưa biết :>
2025-12-07 21:21:54;Lê Ngọc Tuyền;idea gì á
2025-12-07 21:22:06;Hà Đăng Khôi;Để suy nghĩ
2025-12-07 21:22:09;Hà Đăng Khôi;*Thêm
2025-12-07 21:22:20;Lê Ngọc Tuyền;ò hó
2025-12-07 21:22:29;Lê Ngọc Tuyền;ê mà chắc mk có mấy cái thống nhất sơ sơ ha
2025-12-07 21:22:33;Lê Ngọc Tuyền;ví dụ như là
2025-12-07 21:22:41;Lê Ngọc Tuyền;ráng thiệt ráng hong trễ dl nếu có
2025-12-07 21:23:09;Lê Ngọc Tuyền;với tui nghĩ là mk ko được public mấy cái idea hay gì trong group mk ra ngoài
2025-12-07 21:23:15;Mai Quỳnh Anh;từ từ
2025-12-07 21:23:18;Mai Quỳnh Anh;lập rule i
2025-12-07 21:23:30;Mai Quỳnh Anh;có j cứ theo đó mà làm
2025-12-07 21:23:31;Lê Ngọc Tuyền;mk nói sơ sơ mấy ý kiến của mn òi chốt
2025-12-07 21:24:03;Mai Quỳnh Anh;dụ j á
2025-12-07 21:25:47;Lê Ngọc Tuyền;ai có nghĩ nên có thêm rule gì hong
2025-12-07 21:26:14;Mai Quỳnh Anh;ndung nó sẽ bao gồm
2025-12-07 21:26:22;Mai Quỳnh Anh;quy định về việc thgia pj
2025-12-07 21:26:24;Mai Quỳnh Anh;kiểu như
2025-12-07 21:26:39;Mai Quỳnh Anh;bao lâu phải báo cáo tiến độ 1 lần
2025-12-07 21:26:56;Mai Quỳnh Anh;rồi up code up định kì bao lâu
2025-12-07 21:27:33;Mai Quỳnh Anh;cái này
2025-12-07 21:27:38;Mai Quỳnh Anh;leader quy định=))
2025-12-07 21:27:44;Lê Ngọc Tuyền;tui nghĩ á nha, việc báo cáo thì cũng ko cần tới kiểu làm file phải có mẫu hay gì nhma tụi mk sẽ họp team bao lâu 1 lần (tui nghĩ tầm 1 tuần) để mà xem tiến độ, có vấn đề gì hong
2025-12-07 21:27:51;Mai Quỳnh Anh;hoặc là nếu không kịp thì phải làm sao
2025-12-07 21:27:54;Lê Ngọc Tuyền;rồi cái nào làm rồi
2025-12-07 21:27:55;Mai Quỳnh Anh;rồi war thì sao
2025-12-07 21:27:57;Lê Ngọc Tuyền;note lại
2025-12-07 21:27:59;Mai Quỳnh Anh;hoạt động ở dou
2025-12-07 21:28:03;Mai Quỳnh Anh;lên plan ở dou
2025-12-07 21:28:24;Lê Ngọc Tuyền;ghi theo kiểu đơn giản như file doc có trình bày đàng hoàng xíu thôi
2025-12-07 21:28:31;Mai Quỳnh Anh;nếu mà code là phải có file
2025-12-07 21:28:37;Mai Quỳnh Anh;kiểu như cấu trúc như nào
2025-12-07 21:28:38;Lê Ngọc Tuyền;ko cần gì mà cộng hoà xh chủ nghĩa vn hay hcmus gì =))
2025-12-07 21:28:40;Mai Quỳnh Anh;rõ ràng
2025-12-07 21:28:45;Mai Quỳnh Anh;h tui rút kinh nghiệm rồi
2025-12-07 21:28:59;Mai Quỳnh Anh;không plan trc là lúc code nó rối như tơ vò
2025-12-07 21:29:10;Lê Ngọc Tuyền;trộm vía cái này kì 1 làm caro tui tỡn rồi =))
2025-12-07 21:29:35;Lê Ngọc Tuyền;ê tui nghĩ là tầm 1 tuần họp 1 lần mn thấy sau
2025-12-07 21:29:50;Lê Ngọc Tuyền;nếu bận chưa xếp được lịch chung có đủ mặt
2025-12-07 21:29:56;Lê Ngọc Tuyền;thì max là 2 tuần thoi
2025-12-07 21:30:24;Lê Ngọc Tuyền;trừ khi có gì gấp gấp hoặc kiểu tới khúc sắp xong mk đi nhiều để chạy cho kịp hoặc đang hứng hay sao đó
2025-12-07 21:30:31;Lê Ngọc Tuyền;chỉ có < 2 tuần ko có lớn hơn
2025-12-07 21:30:34;Mai Quỳnh Anh;rồi họp ở dou
2025-12-07 21:30:36;Mai Quỳnh Anh;hay online
2025-12-07 21:30:41;Mai Quỳnh Anh;rồi quy định như nào
2025-12-07 21:30:44;Mai Quỳnh Anh;mỗi lần họp xong
2025-12-07 21:30:48;Mai Quỳnh Anh;viết lại note như nào
2025-12-07 21:30:50;Mai Quỳnh Anh;kiểu z đó
2025-12-07 21:31:05;Lê Ngọc Tuyền;tuỳ hoàn cảnh, hả nếu gấp quá thì online, còn ko thì offline sẽ thoải mái + có tinh thần hơn
2025-12-07 21:31:10;Nghĩa Đoàn;Ưu tiên offline, hạn chế online ha
2025-12-07 21:31:21;Hà Đăng Khôi;+1 vote off
2025-12-07 21:31:24;Lê Ngọc Tuyền;có thể là quán cà phê hoặc thư viện hoặc ở trường
2025-12-07 21:31:27;Lê Ngọc Tuyền;đúng rồi
2025-12-07 21:31:31;Lê Ngọc Tuyền;online khó lói lắm =))
2025-12-07 21:31:38;Triêm Đoàn;+1 off
2025-12-07 21:32:17;Mai Quỳnh Anh;+1 off
2025-12-07 21:32:20;Mai Quỳnh Anh;nghiêm túc
2025-12-07 21:32:24;Mai Quỳnh Anh;như đi làm luôn
2025-12-07 21:32:26;Mai Quỳnh Anh;🐋
2025-12-07 21:32:48;Nghĩa Đoàn;Bàn ko xong là ko cho về
2025-12-07 21:33:19;Hà Đăng Khôi;:>
2025-12-07 21:33:38;Triêm Đoàn;Có được nấu xói khong
2025-12-07 21:33:41;Triêm Đoàn;🐋
2025-12-07 21:34:00;Mai Quỳnh Anh;mik phải quy định
2025-12-07 21:34:06;Mai Quỳnh Anh;cả thgian họp báo cáo nx
2025-12-07 21:34:10;Mai Quỳnh Anh;báo cáo thì onl được
2025-12-07 21:34:12;Mai Quỳnh Anh;còn bàn
2025-12-07 21:34:15;Mai Quỳnh Anh;bắt buộc off
2025-12-07 21:34:25;Mai Quỳnh Anh;kinh nghiểm r nên bt
2025-12-07 21:34:26;Mai Quỳnh Anh;=)))
2025-12-07 21:35:22;Lê Ngọc Tuyền;ok =))
2025-12-07 21:35:34;Lê Ngọc Tuyền;tui đang note ra á, có gì mn nhắn i
2025-12-07 21:35:40;Mai Quỳnh Anh;rồi nếu không hoàn thành đúng thời hạn
2025-12-07 21:35:41;Mai Quỳnh Anh;thì sao
2025-12-07 21:35:42;Mai Quỳnh Anh;kiểu z
2025-12-07 21:36:01;Mai Quỳnh Anh;tui nghĩ là
2025-12-07 21:36:06;Nghĩa Đoàn;Cái này mới khó lói nè
2025-12-07 21:36:08;Mai Quỳnh Anh;lập 1 gr zalo riêng
2025-12-07 21:36:10;Mai Quỳnh Anh;chỉ để báo cáo
2025-12-07 21:36:12;Triêm Đoàn;Khó lói
2025-12-07 21:36:14;Mai Quỳnh Anh;còn nahwns sẽ là gr này
2025-12-07 21:36:19;Mai Quỳnh Anh;để tránh việc trôi tn
2025-12-07 21:36:23;Mai Quỳnh Anh;vs miss thông tin
2025-12-07 21:36:27;Lê Ngọc Tuyền;đồng ý
2025-12-07 21:36:35;Nghĩa Đoàn;Càng quen là cái dụ deadline bị lì
2025-12-07 21:36:37;Mai Quỳnh Anh;ýe
2025-12-07 21:36:39;Mai Quỳnh Anh;nhma phải làm
2025-12-07 21:36:43;Lê Ngọc Tuyền;thiệt
2025-12-07 21:36:44;Mai Quỳnh Anh;mik tính đi đg dài mà=)))
2025-12-07 21:36:46;Lê Ngọc Tuyền;nếu ai trễ dl
2025-12-07 21:36:52;Lê Ngọc Tuyền;lần họp đi cfe tiếp theo ng đó trả
2025-12-07 21:36:53;Lê Ngọc Tuyền;ok ko
2025-12-07 21:37:01;Nghĩa Đoàn;Lạ lạ hết là phải làm, còn quen quen là chừng khó lói
2025-12-07 21:37:02;Hà Đăng Khôi;:>
2025-12-07 21:37:02;Lê Ngọc Tuyền;cũng thoải mái vui cẻ
2025-12-07 21:37:03;Triêm Đoàn;:>>>>>>
2025-12-07 21:37:11;Hà Đăng Khôi;Oki
2025-12-07 21:37:15;Lê Ngọc Tuyền;nhma cũng là nghiêm túc =))
2025-12-07 21:37:17;Mai Quỳnh Anh;rồi như thế nào là trễ dl
2025-12-07 21:37:21;Mai Quỳnh Anh;cx phải quy định hết
2025-12-07 21:37:25;Mai Quỳnh Anh;bà cứ note ra hết i
2025-12-07 21:37:28;Mai Quỳnh Anh;rồi lập docs
2025-12-07 21:37:31;Mai Quỳnh Anh;lát dô sửa choa
2025-12-07 21:37:36;Lê Ngọc Tuyền;tui đang gõ trên doc nè
2025-12-07 21:37:42;Hà Đăng Khôi;Được cái đó giờ làm nhóm toàn đi bối deadline :>
2025-12-07 21:37:53;Lê Ngọc Tuyền;Lê Ngọc Tuyền đã bày tỏ cảm xúc 😆 về tin nhắn của bạn 
2025-12-07 21:37:59;Hà Đăng Khôi;Được cái đó giờ làm nhóm toàn đi hối deadline :> (edited)
2025-12-07 21:38:18;Lê Ngọc Tuyền;tui đnghia trễ dl là
2025-12-07 21:38:21;Mai Quỳnh Anh;Dừng lại điiii đã bày tỏ cảm xúc 😆 về tin nhắn của bạn 
2025-12-07 21:38:33;Lê Ngọc Tuyền;khi mn đều thấy là công việc đó phù hợp với khoảng tgian đó rồi và chốt tgian như vậy rồi
2025-12-07 21:39:47;Lê Ngọc Tuyền;nhma ko có lý do chính đáng (lý do chính đáng ví dụ như đột nhiên phát hiện ra công việc đó cần phát sinh thêm cgi đủ to mà không còn phù hợp với khoảng tgian đã đưa ra nữa, hoặc lý do gia đình chính đáng) thì là trễ deadline
2025-12-07 21:40:08;Lê Ngọc Tuyền;còn nếu ban đầu thấy khoảng tgian đó là chưa phù hợp là chưa đủ thì có thể xin thêm
2025-12-07 21:40:18;Lê Ngọc Tuyền;việc xin thêm được hay không thì xem xét
2025-12-07 21:40:54;Mai Quỳnh Anh;biểu quyết ik
2025-12-07 21:40:55;Mai Quỳnh Anh;":"">"
2025-12-07 21:41:03;Mai Quỳnh Anh;vs lại
2025-12-07 21:41:05;Mai Quỳnh Anh;quy định là
2025-12-07 21:41:06;Lê Ngọc Tuyền;mn thấy v ổn ko =))
2025-12-07 21:41:15;Mai Quỳnh Anh;trừ khi 2 ng làm chung 1 công việc
2025-12-07 21:41:17;Mai Quỳnh Anh;không thì
2025-12-07 21:41:21;Mai Quỳnh Anh;không được nhắn làm riêng
2025-12-07 21:41:31;Mai Quỳnh Anh;để tránh miss thông tin
2025-12-07 21:41:33;Mai Quỳnh Anh;":"">>"
2025-12-07 21:41:37;Mai Quỳnh Anh;cx là kinh nghiệm luôn
2025-12-07 21:41:38;Hà Đăng Khôi;Oke
2025-12-07 21:41:39;Hà Đăng Khôi;🐋
2025-12-07 21:41:50;Lê Ngọc Tuyền;à đúng rồi với không được tách nhóm kiểu out nhóm xong đi làm cái proj này riêng=))
2025-12-07 21:42:07;Lê Ngọc Tuyền;nếu out nhóm rồi thì ko có quyền gì với idea hay proj của nhóm nữa
2025-12-07 21:42:32;Lê Ngọc Tuyền;biểu quyết cgi á bà
2025-12-07 21:42:33;Triêm Đoàn;Nếu như toi có làm thêm prj nhóm khác(tuan thu bảo mật prj nhóm này) thì có được khong vạy
2025-12-07 21:42:50;Lê Ngọc Tuyền;đó thì bình thường
2025-12-07 21:42:50;Mai Quỳnh Anh;cái này từ từ nha
2025-12-07 21:42:57;Mai Quỳnh Anh;quy định luôn
2025-12-07 21:43:04;Mai Quỳnh Anh;tất cả phần từ trc đó trở đi
2025-12-07 21:43:08;Mai Quỳnh Anh;thì vẫn có quyền lấy
2025-12-07 21:43:08;Lê Ngọc Tuyền;tui cũng làm nckh thôi
2025-12-07 21:43:13;Mai Quỳnh Anh;nhma mik sẽ tách file riêng
2025-12-07 21:43:15;Lê Ngọc Tuyền;à ừ đroi
2025-12-07 21:43:41;Mai Quỳnh Anh;trc mỗi dl
2025-12-07 21:43:48;Mai Quỳnh Anh;bà phải quy định thgian khiếu nại
2025-12-07 21:43:49;Mai Quỳnh Anh;":"">>"
2025-12-07 21:43:51;Nghĩa Đoàn;Đồng ý với các đề xuất nãy h ạ
2025-12-07 21:44:02;Lê Ngọc Tuyền;ok =))
2025-12-07 21:44:04;Hà Đăng Khôi;Cũng vậy
2025-12-07 21:44:07;Lê Ngọc Tuyền;khi mọi người đều thấy là công việc đó phù hợp với khoảng thời gian đó rồi và chốt thời gian như vậy rồi nhưng mà không có lý do chính đáng (lý do chính đáng ví dụ như đột nhiên phát hiện ra công việc đó cần phát sinh thêm cái gì đủ to mà không còn phù hợp với khoảng thời gian đã đưa ra nữa, hoặc lý do gia đình chính đáng) thì là trễ deadline, còn nếu ban đầu thấy khoảng thời gian đó là chưa phù hợp là chưa đủ thì có thể xin thêm, việc xin thêm được hay không thì xem xét
2025-12-07 21:44:09;Lê Ngọc Tuyền;chốt cái này ko mn
2025-12-07 21:44:22;Hà Đăng Khôi;Nhìu chữ quá
2025-12-07 21:44:24;Hà Đăng Khôi;:>
2025-12-07 21:44:30;Lê Ngọc Tuyền;thì mới rõ ràng =)))
2025-12-07 21:44:45;Hà Đăng Khôi;Okeoke
2025-12-07 21:44:48;Mai Quỳnh Anh;oke nha
2025-12-07 21:44:49;Lê Ngọc Tuyền;ê nhma
2025-12-07 21:44:52;Lê Ngọc Tuyền;nếu out nhóm
2025-12-07 21:44:52;Mai Quỳnh Anh;xem xét
2025-12-07 21:44:57;Mai Quỳnh Anh;là do cả nhóm biểu quyết
2025-12-07 21:45:02;Mai Quỳnh Anh;công khai luôn
2025-12-07 21:45:02;Lê Ngọc Tuyền;xong lấy cái idea của mk đem bán ha gì thì sao :>
2025-12-07 21:45:07;Lê Ngọc Tuyền;kiểu kiểu vạy :>
2025-12-07 21:45:14;Hà Đăng Khôi;Nói toi ha
2025-12-07 21:45:18;Lê Ngọc Tuyền;:>>>
2025-12-07 21:45:27;Mai Quỳnh Anh;từ sau thười hạn khiếu nại thì không được thay đổi ý kiến đã quyết
2025-12-07 21:45:30;Mai Quỳnh Anh;tức là
2025-12-07 21:45:35;Mai Quỳnh Anh;bắt buộc phải phát biểu đó
2025-12-07 21:45:37;Triêm Đoàn;Idea thì toi nghĩ sẽ khong có vấn đề, vấn đề là lấy source của cả nhóm í
2025-12-07 21:45:40;Lê Ngọc Tuyền;đúng rồi
2025-12-07 21:45:49;Lê Ngọc Tuyền;việc được lấy đi nghe hơi nhạy cảm
2025-12-07 21:46:44;Triêm Đoàn;Hmm…
2025-12-07 21:46:54;Mai Quỳnh Anh;source
2025-12-07 21:47:07;Mai Quỳnh Anh;là phải bảo mật th
2025-12-07 21:47:09;Mai Quỳnh Anh;":"">>>"
2025-12-07 21:47:13;Mai Quỳnh Anh;z nê
2025-12-07 21:47:16;Mai Quỳnh Anh;ms bảo là
2025-12-07 21:47:23;Mai Quỳnh Anh;không được nhắn tin riêng đó
2025-12-07 21:47:31;Hà Đăng Khôi;Lát làm một cái file nhé
2025-12-07 21:47:35;Nghĩa Đoàn;Ố kê ạ
2025-12-07 21:47:36;Mai Quỳnh Anh;tại vì dễ bị miss thông tin
2025-12-07 21:47:41;Mai Quỳnh Anh;+ mn hay hỏi nhau
2025-12-07 21:47:46;Mai Quỳnh Anh;và gửi code cho nhau
2025-12-07 21:47:50;Hà Đăng Khôi;Nãy giờ đang nghĩ ý tưởng :>
2025-12-07 21:47:55;Mai Quỳnh Anh;Dừng lại điiii đã bày tỏ cảm xúc 😆 về tin nhắn của bạn 
2025-12-07 21:47:57;Mai Quỳnh Anh;ya
2025-12-07 21:48:00;Mai Quỳnh Anh;hứng thú lên rồi đó
2025-12-07 21:48:01;Mai Quỳnh Anh;=))))
2025-12-07 21:48:40;Hà Đăng Khôi;Hmm ý là ban đầu Ngtuyen rủ là định làm proj theo hướng nào ha
2025-12-07 21:48:42;Hà Đăng Khôi;🐋
2025-12-07 21:48:42;Lê Ngọc Tuyền;kỉ luật tạo động lực mà
2025-12-07 21:48:52;Lê Ngọc Tuyền;ngtuyen thì thích hướng tự động hoá
2025-12-07 21:48:54;Lê Ngọc Tuyền;nhma khoan đi
2025-12-07 21:48:57;Lê Ngọc Tuyền;rule xong đã
2025-12-07 21:49:02;Lê Ngọc Tuyền;cái vụ out nhóm
2025-12-07 21:49:03;Lê Ngọc Tuyền;qtrong í
2025-12-07 21:49:04;Mai Quỳnh Anh;rule xong rồi
2025-12-07 21:49:05;Lê Ngọc Tuyền;chốt cái i
2025-12-07 21:49:09;Mai Quỳnh Anh;tính pj tiếp sau
2025-12-07 21:49:12;Mai Quỳnh Anh;phải chốt được trc
2025-12-07 21:49:47;Lê Ngọc Tuyền;ai vi phạm rule 3 lần
2025-12-07 21:49:52;Lê Ngọc Tuyền;góp quỹ cho team nhá
2025-12-07 21:49:58;Lê Ngọc Tuyền;có thể team cần quỹ ấy
2025-12-07 21:50:20;Lê Ngọc Tuyền;cần 1 người giữ quỹ '
2025-12-07 21:50:49;Nghĩa Đoàn;Ban đầu tui còn nghĩ là kick khỏi nhóm:))
2025-12-07 21:51:00;Mai Quỳnh Anh;":"">>>  hmmm"
2025-12-07 21:51:03;Lê Ngọc Tuyền;vậy chắc hết sớm=))
2025-12-07 21:51:09;Hà Đăng Khôi;Y chang
2025-12-07 21:51:15;Lê Ngọc Tuyền;hết group ko đáng sợ bằng hết tiền
2025-12-07 21:51:38;Nghĩa Đoàn;Thật ra, tăng số lần vi phạm lên, hoặc 1 khoảng tg reset lần vp 1 lần:))
2025-12-07 21:51:45;Nghĩa Đoàn;Trong khoảng đó mà quá chắc kick cha
2025-12-07 21:51:46;Nghĩa Đoàn;:))
2025-12-07 21:52:01;Nghĩa Đoàn;Chớ dẫy là đâu muốn làm chung nữa
2025-12-07 21:52:10;Mai Quỳnh Anh;kick hay không là theo rule nha
